acousticness,danceability,energy,ind,instrumentalness,key,label,liveness,loudness,mode,song_id,song_name,speechiness,tempo,valence
0.156,0.793,0.714,222,0.0,7,1,0.136,-7.562,1,02Ygu8lo3qSknRpcBnspso,Just Friends,0.193,100.036,0.794
0.272,0.783,0.43,47,1.52e-06,11,0,0.254,-9.783,1,03ZFDJXHFi8dDSf2dmBNoR,Footprint,0.283,82.066,0.192
0.755,0.815,0.308,217,0.00104,5,1,0.108,-10.956,1,04Fd2hmbDWV4Lc7OLarvBa,The Best Of Myself,0.0463,79.492,0.572
0.182,0.654,0.739,53,0.0,9,0,0.0646,-5.093,0,04wkQ3rrZMebfFN3t2DS7w,Light of You,0.0826,124.051,0.522
0.0073,0.826,0.79,212,9.9e-06,10,1,0.122,-4.341,1,07s9NNOT0sZQp7TyolLLgu,Own It (feat. Ed Sheeran & Burna Boy),0.126,104.032,0.377
0.205,0.626,0.88,39,0.0,9,1,0.128,-2.384,0,08bNPGLD8AhKpnnERrAc6G,FRIENDS,0.0504,95.079,0.534
0.0865,0.605,0.768,41,0.0,0,1,0.308,-3.724,0,09CtPGIpYB4BrO8qb1RGsF,Sorry,0.0476,100.209,0.414
0.171,0.753,0.657,70,0.0,7,1,0.112,-3.061,1,09IStsImFySgyp0pIQdqAc,The Middle,0.0449,107.01,0.437
0.0735,0.624,0.876,35,0.0,9,1,0.327,-3.374,1,0afhq8XCExXpqazXczTSve,Galway Girl,0.1,99.943,0.781
0.199,0.63,0.928,44,0.124,9,1,0.148,-2.787,0,0azC730Exh71aQlOt9Zj3y,This Is What You Came For,0.0331,123.963,0.465
0.0323,0.731,0.794,100,2.59e-05,0,1,0.112,-5.126,0,0CokSRCu5hZgPxcZBaEzVE,Glorious (feat. Skylar Grey),0.0522,139.994,0.356
0.108,0.795,0.496,150,0.0,0,1,0.0645,-5.883,1,0DiDStADDVh3SvAsoJAFMk,Only Human,0.0722,94.01,0.874
0.336,0.481,0.451,141,0.0,5,1,0.0872,-6.095,0,0ENSn4fwAbCGeFGVUbXEU3,Hello,0.0347,157.966,0.289
0.122,0.358,0.736,105,0.0,4,1,0.158,-6.928,0,0f3guGhyDizp870BWCBQDQ,Old Ways,0.28,83.262,0.586
0.581,0.825,0.652,129,0.0,1,1,0.0931,-3.183,0,0FE9t6xYkqWXU2ahLh6D8X,Shape of You,0.0802,95.977,0.931
0.0589,0.442,0.737,157,0.0,7,1,0.102,-5.046,1,0hGH0S74Eoyv6mXZcOKtdQ,On The Road (feat. Meek Mill & Lil Baby),0.109,112.93,0.21
0.0414,0.472,0.67,206,0.0,9,1,0.16,-7.02,0,0iCrd2lXYkQQSvk8P6spmm,Far Away,0.0358,140.025,0.298
0.824,0.572,0.343,78,0.0,7,0,0.0621,-7.147,1,0kjarPlpe1PpBJskSaEDwT,Circle Game,0.0407,133.04,0.163
0.013,0.853,0.56,32,0.0,1,1,0.0944,-4.961,1,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,0.0406,134.066,0.86
0.0302,0.695,0.776,69,1.25e-05,10,0,0.131,-3.938,1,0l6lfl4PcrbPmBE08I6zp2,(Hey Why) Miss You Sometime,0.0468,104.042,0.488
0.168,0.537,0.647,55,0.0,2,0,0.108,-7.37,1,0LcNMuOiULmxJK3bdHTfDF,Missing You,0.0519,79.77,0.531
0.0771,0.652,0.713,18,1.02e-05,8,1,0.144,-5.311,1,0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,0.0368,100.023,0.152
0.000455,0.426,0.888,64,0.0,0,0,0.306,-3.72,0,0M3adYbGtyRHACP86dey1H,Throne,0.0987,144.111,0.387
0.746,0.573,0.385,72,0.0,7,0,0.107,-5.379,0,0mknlibAARXVk3d8pafTUg,90 Days (feat. Wrabel),0.0686,131.804,0.345
0.609,0.589,0.501,120,1.46e-05,2,1,0.321,-7.502,1,0OFknyqxmSQ42SoKxWVTok,Un Poco Loco,0.138,126.848,0.587
0.614,0.611,0.459,28,0.0,0,0,0.126,-3.926,0,0oPOuDmmkVp3h6puekhs6P,Use This Gospel,0.0422,148.28,0.177
0.0622,0.776,0.78,2,0.0,10,1,0.081,-4.374,0,0pqnGHJpmpxLKifKRmU6WP,Believer,0.128,124.949,0.666
0.769,0.368,0.321,77,0.0,3,0,0.135,-5.904,1,0pwdJLLVxlJa1lnR9UeMZY,Love Me Anyway (feat. Chris Stapleton),0.0272,139.001,0.0673
0.0285,0.489,0.588,74,2.11e-06,1,1,0.0906,-6.177,1,0Qh38w01QRXK6KHIv0e3hb,What About Us,0.0507,113.617,0.187
0.0192,0.599,0.887,56,1.21e-06,4,0,0.3,-3.967,1,0rIAC4PXANcKmitJfoqmVm,Motivation,0.0984,170.918,0.881
0.0501,0.9,0.4,151,0.0,0,1,0.0876,-8.443,1,0rTV5WefWd1J3OwIheTzxM,Talk,0.124,136.001,0.338
0.119,0.4,0.795,34,0.0,10,0,0.159,-3.731,0,0Ryd8975WihbObpp5cPW1t,boyfriend (with Social House),0.461,190.097,0.702
